S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
12,1,29,4,4,4,2,6,3,0,16.0,12.0,13.0,10.0,9.0,4.0,23.0,11.0,3.0,1.0,0.0,0.0,1,1,3.0,1.0,361.0,248.0,4373,4.0,2.0,608.0,686.0,6.0,1.0,7.0,2.0,3.0,3.0,3.0,2.0,1.4,2.2
12,4,29,19,19,2,2,4,1,1,21.0,5.0,11.0,3.0,7.0,5.0,18.0,19.0,1.0,2.0,0.0,0.0,1,1,9.0,9.0,324.0,256.0,4527,15.0,21.0,534.0,705.0,10.0,10.0,16.0,22.0,4.0,3.0,2.5,2.0,2.2,3.0
12,6,29,11,11,2,1,3,3,0,17.0,5.0,11.0,4.0,4.0,5.0,14.0,11.0,1.0,1.0,0.0,0.0,0,1,11.0,6.0,136.0,253.0,4452,18.0,16.0,224.0,700.0,14.0,6.0,21.0,16.0,4.0,3.0,1.5,1.6666666666666667,2.4,2.8
12,26,29,25,25,1,1,2,1,1,5.0,3.0,1.0,1.0,3.0,1.0,11.0,18.0,2.0,3.0,0.0,0.0,0,0,19.0,11.0,174.0,258.0,4594,31.0,29.0,289.0,713.0,20.0,12.0,32.0,30.0,4.0,3.0,1.5,1.5,2.6,2.2
12,28,29,1,1,2,2,4,1,1,15.0,11.0,8.0,4.0,6.0,7.0,16.0,13.0,3.0,1.0,0.0,0.0,1,1,,,225.0,247.0,4349,,,372.0,684.0,,,,,4.0,3.0,1.5,1.6,3.0,2.0
12,30,29,34,32,2,1,3,3,0,15.0,24.0,8.0,10.0,6.0,6.0,12.0,11.0,0.0,0.0,0.0,0.0,0,1,17.0,13.0,70.0,260.0,4677,24.0,38.0,120.0,722.0,20.0,13.0,27.0,38.0,4.0,3.0,2.0,1.6,3.8,2.8
12,33,29,30,29,1,1,2,1,1,13.0,11.0,6.0,6.0,4.0,3.0,15.0,19.0,5.0,4.0,0.0,0.0,0,0,20.0,12.0,54.0,259.0,4639,30.0,37.0,75.0,721.0,21.0,13.0,31.0,38.0,4.0,3.0,2.5,1.4,3.2,3.2
12,43,29,32,31,1,0,1,3,0,19.0,6.0,6.0,3.0,4.0,7.0,9.0,15.0,2.0,2.0,0.0,0.0,0,0,24.0,13.0,364.0,260.0,4663,43.0,38.0,595.0,722.0,27.0,13.0,46.0,38.0,4.0,3.0,3.0,1.2,2.8,2.8
12,14,29,16,16,4,0,4,3,0,14.0,9.0,9.0,5.0,3.0,2.0,12.0,15.0,1.0,2.0,0.0,0.0,1,1,17.0,9.0,430.0,256.0,4497,36.0,20.0,724.0,704.0,20.0,9.0,39.0,20.0,2.0,3.0,3.0,1.0,2.4,2.6
12,18,29,36,37,2,0,2,3,0,8.0,9.0,6.0,4.0,3.0,2.0,22.0,11.0,3.0,1.0,0.0,1.0,0,0,35.0,16.0,359.0,263.0,4707,58.0,43.0,571.0,727.0,38.0,16.0,61.0,43.0,5.0,3.0,1.5,0.8,2.8,2.2
12,3,29,8,8,2,2,4,1,1,10.0,6.0,6.0,3.0,6.0,5.0,17.0,14.0,3.0,2.0,0.0,0.0,1,1,4.0,4.0,62.0,251.0,4420,6.0,11.0,104.0,695.0,5.0,5.0,7.0,12.0,4.0,3.0,2.0,0.4,2.4,2.4
12,13,29,9,9,1,1,2,1,1,11.0,15.0,6.0,8.0,8.0,9.0,15.0,7.0,1.0,1.0,0.0,0.0,0,0,10.0,5.0,142.0,252.0,4432,11.0,12.0,245.0,696.0,11.0,6.0,12.0,13.0,4.0,3.0,0.5,0.6,2.6,2.8
12,16,29,14,14,0,2,2,0,3,7.0,17.0,5.0,9.0,3.0,5.0,13.0,10.0,1.0,3.0,0.0,0.0,0,0,7.0,6.0,42.0,253.0,4476,12.0,16.0,90.0,700.0,7.0,9.0,12.0,19.0,5.0,3.0,1.0,0.6,2.6,2.2
12,19,29,36,36,1,3,4,0,3,6.0,4.0,3.0,3.0,1.0,2.0,11.0,13.0,1.0,1.0,0.0,0.0,1,1,25.0,13.0,120.0,260.0,4702,38.0,40.0,182.0,724.0,25.0,16.0,38.0,43.0,4.0,3.0,1.0,1.0,2.8,2.4
12,25,29,18,18,3,1,4,3,0,15.0,7.0,5.0,3.0,5.0,5.0,12.0,19.0,0.0,3.0,0.0,1.0,1,1,19.0,9.0,451.0,256.0,4522,25.0,21.0,757.0,705.0,22.0,9.0,28.0,21.0,3.0,3.0,2.0,1.6,2.8,2.8
12,27,29,34,33,2,1,3,3,0,18.0,11.0,10.0,5.0,9.0,4.0,8.0,20.0,1.0,0.0,0.0,0.0,0,1,38.0,13.0,538.0,260.0,4687,67.0,38.0,966.0,722.0,41.0,13.0,70.0,38.0,2.0,3.0,2.5,1.8,3.2,2.6
12,38,29,6,6,1,2,3,0,3,11.0,9.0,6.0,3.0,7.0,6.0,15.0,11.0,0.0,3.0,0.0,0.0,0,1,3.0,1.0,334.0,248.0,4402,4.0,5.0,509.0,689.0,3.0,4.0,4.0,8.0,4.0,3.0,1.0,1.6,3.0,2.6
12,0,29,24,24,1,0,1,3,0,13.0,4.0,8.0,1.0,11.0,1.0,17.0,19.0,2.0,3.0,0.0,0.0,0,0,23.0,11.0,483.0,258.0,4583,48.0,29.0,855.0,713.0,26.0,11.0,51.0,29.0,1.0,3.0,1.5,1.8,3.2,2.0
12,45,29,22,22,0,0,0,1,1,8.0,12.0,5.0,7.0,1.0,6.0,9.0,7.0,2.0,0.0,0.0,0.0,0,0,7.0,10.0,21.0,257.0,4558,12.0,25.0,38.0,709.0,8.0,11.0,13.0,26.0,5.0,3.0,0.0,1.4,3.0,1.8
12,1,14,5,5,0,0,0,1,1,11.0,18.0,5.0,10.0,2.0,9.0,9.0,12.0,0.0,1.0,0.0,0.0,0,0,6.0,6.0,364.0,281.0,4384,7.0,12.0,611.0,700.0,7.0,7.0,8.0,13.0,3.0,2.0,2.0,0.0,3.0,3.2
12,4,14,25,25,0,1,1,0,3,11.0,6.0,2.0,3.0,4.0,4.0,24.0,15.0,2.0,2.0,0.0,0.0,0,0,13.0,29.0,328.0,304.0,4591,25.0,61.0,544.0,749.0,13.0,32.0,25.0,64.0,4.0,2.0,1.6666666666666667,0.5,2.8,2.8
12,6,14,36,35,0,2,2,0,3,14.0,8.0,6.0,5.0,7.0,2.0,17.0,14.0,4.0,1.0,0.0,0.0,0,0,29.0,41.0,154.0,316.0,4693,54.0,85.0,260.0,773.0,29.0,44.0,54.0,88.0,4.0,2.0,1.0,1.0,2.2,2.8
12,26,14,9,9,1,0,1,3,0,4.0,9.0,1.0,3.0,0.0,12.0,6.0,7.0,1.0,2.0,0.0,0.0,0,0,4.0,10.0,159.0,285.0,4430,8.0,20.0,266.0,708.0,7.0,10.0,11.0,20.0,4.0,2.0,1.3333333333333333,0.75,1.8,2.4
12,28,14,7,7,0,1,1,0,3,8.0,17.0,4.0,12.0,3.0,7.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0,7.0,7.0,232.0,282.0,4409,10.0,14.0,382.0,702.0,7.0,10.0,10.0,17.0,4.0,2.0,1.0,0.8,1.6,2.2
12,30,14,29,28,1,3,4,0,3,8.0,23.0,5.0,13.0,7.0,7.0,14.0,15.0,1.0,2.0,0.0,0.0,1,1,14.0,35.0,67.0,310.0,4626,20.0,68.0,116.0,756.0,14.0,38.0,20.0,71.0,4.0,2.0,1.6666666666666667,0.8,1.0,1.6
12,33,14,20,20,0,2,2,0,3,4.0,12.0,2.0,9.0,5.0,4.0,12.0,15.0,1.0,3.0,0.0,0.0,0,0,16.0,20.0,50.0,295.0,4542,26.0,46.0,71.0,734.0,16.0,23.0,26.0,49.0,4.0,2.0,1.6666666666666667,1.4,1.8,1.8
12,43,14,23,23,0,2,2,0,3,12.0,12.0,4.0,5.0,4.0,7.0,14.0,12.0,2.0,4.0,0.0,0.0,0,0,15.0,26.0,355.0,301.0,4572,33.0,55.0,585.0,743.0,15.0,29.0,33.0,58.0,4.0,2.0,2.0,1.6,2.0,2.0
12,18,14,27,27,0,1,1,0,3,4.0,25.0,2.0,11.0,3.0,9.0,14.0,9.0,1.0,2.0,1.0,0.0,0,0,28.0,32.0,352.0,307.0,4608,48.0,65.0,561.0,753.0,28.0,35.0,48.0,68.0,5.0,2.0,1.0,1.6,2.0,1.6
12,3,14,2,2,0,1,1,0,3,9.0,7.0,3.0,3.0,8.0,2.0,10.0,16.0,0.0,0.0,0.0,0.0,0,0,,,58.0,275.0,4355,1.0,3.0,99.0,691.0,,,1.0,6.0,4.0,2.0,1.3333333333333333,1.8,2.0,2.0
12,13,14,15,15,0,4,4,0,3,8.0,16.0,4.0,12.0,7.0,10.0,13.0,11.0,0.0,1.0,0.0,0.0,1,1,14.0,16.0,146.0,291.0,4486,18.0,33.0,252.0,721.0,14.0,19.0,18.0,36.0,4.0,2.0,0.3333333333333333,1.8,2.0,2.0
12,16,14,3,3,0,2,2,0,3,7.0,16.0,4.0,10.0,1.0,6.0,9.0,12.0,1.0,1.0,0.0,0.0,0,0,0.0,3.0,35.0,278.0,4366,1.0,6.0,79.0,694.0,0.0,6.0,1.0,9.0,5.0,2.0,0.6666666666666666,2.0,2.0,1.0
12,19,14,13,13,1,4,5,0,3,7.0,16.0,2.0,11.0,1.0,5.0,13.0,13.0,0.0,2.0,0.0,0.0,1,1,9.0,13.0,104.0,288.0,4467,14.0,29.0,158.0,717.0,9.0,16.0,14.0,32.0,4.0,2.0,1.0,2.0,2.0,2.6
12,25,14,21,21,0,1,1,0,3,14.0,8.0,7.0,7.0,3.0,2.0,14.0,16.0,2.0,2.0,0.0,0.0,0,0,25.0,23.0,457.0,298.0,4549,34.0,49.0,766.0,737.0,25.0,26.0,34.0,52.0,3.0,2.0,1.3333333333333333,2.4,2.6,2.8
12,27,14,37,37,1,3,4,0,3,15.0,7.0,9.0,6.0,7.0,0.0,11.0,14.0,2.0,3.0,0.0,0.0,1,1,42.0,44.0,542.0,319.0,4713,74.0,91.0,973.0,779.0,42.0,47.0,74.0,94.0,2.0,2.0,2.0,2.4,2.6,2.6
12,29,14,38,38,1,1,2,1,1,8.0,12.0,4.0,7.0,6.0,4.0,11.0,17.0,4.0,4.0,0.0,0.0,0,0,27.0,47.0,464.0,322.0,4721,43.0,94.0,727.0,782.0,28.0,48.0,44.0,95.0,3.0,2.0,1.5,2.8,3.2,2.8
12,38,14,31,31,1,3,4,0,3,4.0,12.0,3.0,8.0,4.0,3.0,11.0,10.0,0.0,2.0,0.0,0.0,1,1,21.0,38.0,352.0,313.0,4651,27.0,77.0,532.0,765.0,21.0,41.0,27.0,80.0,4.0,2.0,1.0,2.2,2.8,2.8
12,0,14,17,17,2,2,4,1,1,10.0,10.0,5.0,5.0,4.0,6.0,11.0,17.0,1.0,3.0,0.0,0.0,1,1,18.0,19.0,478.0,294.0,4511,34.0,39.0,841.0,727.0,19.0,20.0,35.0,40.0,1.0,2.0,1.6666666666666667,2.4,3.2,1.8
12,45,14,11,11,1,4,5,0,3,12.0,19.0,9.0,9.0,2.0,6.0,12.0,8.0,1.0,0.0,0.0,0.0,1,1,7.0,10.0,21.0,285.0,4451,8.0,23.0,34.0,711.0,7.0,13.0,8.0,26.0,5.0,2.0,0.3333333333333333,2.0,3.0,1.4
12,1,16,7,7,1,1,2,1,1,10.0,13.0,5.0,8.0,5.0,8.0,10.0,15.0,2.0,1.0,0.0,0.0,0,0,7.0,1.0,365.0,44.0,4404,9.0,1.0,613.0,79.0,8.0,2.0,10.0,2.0,3.0,5.0,1.75,1.0,5.0,2.6
12,4,16,33,34,1,0,1,3,0,18.0,4.0,7.0,3.0,11.0,6.0,11.0,19.0,3.0,2.0,0.0,0.0,0,0,19.0,8.0,334.0,51.0,4673,36.0,27.0,555.0,105.0,22.0,8.0,39.0,27.0,4.0,5.0,1.5,0.5,5.4,3.2
12,6,16,9,9,1,0,1,3,0,21.0,7.0,7.0,2.0,7.0,3.0,19.0,14.0,1.0,1.0,0.0,0.0,0,0,8.0,2.0,133.0,45.0,4427,12.0,5.0,218.0,83.0,11.0,2.0,15.0,5.0,4.0,5.0,1.0,0.3333333333333333,4.0,3.0
12,26,16,23,23,3,1,4,3,0,16.0,7.0,9.0,2.0,7.0,7.0,10.0,11.0,2.0,1.0,0.0,0.0,1,1,16.0,7.0,171.0,50.0,4569,28.0,18.0,286.0,96.0,19.0,7.0,31.0,18.0,4.0,5.0,1.75,0.5,2.8,3.0
12,28,16,4,4,2,1,3,3,0,24.0,6.0,15.0,2.0,4.0,2.0,16.0,16.0,1.0,2.0,0.0,0.0,0,1,1.0,1.0,226.0,44.0,4378,4.0,1.0,376.0,79.0,4.0,1.0,7.0,1.0,4.0,5.0,1.25,0.6,2.8,3.0
12,30,16,1,1,1,1,2,1,1,14.0,14.0,10.0,8.0,6.0,11.0,14.0,16.0,0.0,1.0,0.0,0.0,0,0,,,53.0,43.0,4350,,,96.0,78.0,,,,,4.0,5.0,1.5,0.6,2.2,2.6
12,33,16,4,5,3,1,4,3,0,16.0,6.0,7.0,3.0,8.0,7.0,14.0,21.0,0.0,2.0,0.0,0.0,1,1,4.0,1.0,38.0,44.0,4391,4.0,1.0,49.0,79.0,7.0,1.0,7.0,1.0,4.0,5.0,2.0,0.6,2.2,2.2
12,43,16,20,20,1,1,2,1,1,17.0,11.0,14.0,7.0,5.0,6.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0,11.0,6.0,351.0,49.0,4543,28.0,14.0,580.0,92.0,12.0,7.0,29.0,15.0,4.0,5.0,1.75,0.8,2.8,2.8
12,14,16,30,30,4,1,5,3,0,20.0,6.0,13.0,3.0,10.0,4.0,13.0,16.0,1.0,0.0,0.0,0.0,1,1,36.0,8.0,449.0,51.0,4637,74.0,26.0,762.0,104.0,39.0,8.0,77.0,26.0,2.0,5.0,3.3333333333333335,1.0,3.0,3.4
12,18,16,32,32,4,0,4,3,0,13.0,11.0,8.0,3.0,4.0,9.0,10.0,14.0,1.0,1.0,0.0,0.0,1,1,28.0,8.0,352.0,51.0,4662,51.0,26.0,564.0,104.0,31.0,8.0,54.0,26.0,5.0,5.0,1.75,1.0,3.2,2.0
12,3,16,11,11,0,1,1,0,3,16.0,4.0,11.0,1.0,11.0,3.0,8.0,14.0,1.0,1.0,0.0,0.0,0,0,6.0,2.0,64.0,45.0,4445,9.0,8.0,107.0,86.0,6.0,5.0,9.0,11.0,4.0,5.0,1.0,0.8,3.4,3.0
12,13,16,38,38,2,2,4,1,1,8.0,9.0,5.0,6.0,3.0,8.0,14.0,14.0,2.0,2.0,0.0,0.0,1,1,27.0,9.0,159.0,52.0,4717,45.0,32.0,279.0,110.0,28.0,10.0,46.0,33.0,4.0,5.0,0.75,0.8,3.2,2.4
12,19,16,21,21,3,1,4,3,0,12.0,7.0,6.0,3.0,4.0,2.0,11.0,18.0,1.0,3.0,0.0,0.0,1,1,10.0,7.0,105.0,50.0,4548,18.0,15.0,162.0,93.0,13.0,7.0,21.0,15.0,4.0,5.0,1.5,1.0,3.2,2.6
12,25,16,12,13,3,2,5,3,0,18.0,4.0,5.0,4.0,7.0,1.0,13.0,17.0,1.0,3.0,0.0,0.0,1,1,12.0,5.0,444.0,48.0,4468,17.0,12.0,749.0,90.0,15.0,5.0,20.0,12.0,3.0,5.0,1.75,1.0,3.6,1.8
12,27,16,18,18,5,2,7,3,0,19.0,4.0,14.0,3.0,15.0,3.0,12.0,8.0,0.0,1.0,0.0,0.0,1,1,18.0,6.0,518.0,49.0,4519,31.0,14.0,930.0,92.0,21.0,6.0,34.0,14.0,2.0,5.0,2.75,1.2,3.6,3.8
12,29,16,35,36,0,0,0,1,1,16.0,7.0,9.0,3.0,5.0,2.0,16.0,15.0,1.0,1.0,0.0,0.0,0,0,26.0,8.0,463.0,51.0,4697,39.0,30.0,723.0,108.0,27.0,9.0,40.0,31.0,3.0,5.0,1.0,1.6,4.2,2.0
12,38,16,15,15,2,2,4,1,1,15.0,11.0,8.0,8.0,4.0,8.0,7.0,11.0,0.0,3.0,0.0,0.0,1,1,9.0,5.0,340.0,48.0,4489,11.0,12.0,516.0,90.0,10.0,6.0,12.0,13.0,4.0,5.0,1.3333333333333333,1.4,4.0,3.0
12,0,16,27,27,5,1,6,3,0,17.0,6.0,12.0,3.0,5.0,1.0,8.0,17.0,1.0,2.0,0.0,0.0,1,1,26.0,8.0,486.0,51.0,4611,54.0,22.0,861.0,100.0,29.0,8.0,57.0,22.0,1.0,5.0,2.5,1.4,4.0,2.0
12,45,16,25,25,2,2,4,1,1,12.0,4.0,7.0,4.0,8.0,4.0,17.0,11.0,1.0,0.0,0.0,1.0,1,1,11.0,7.0,25.0,50.0,4589,16.0,21.0,42.0,99.0,12.0,8.0,17.0,22.0,5.0,5.0,0.75,1.4,4.4,2.4
12,1,19,10,10,2,0,2,3,0,11.0,7.0,5.0,1.0,8.0,4.0,21.0,14.0,0.0,1.0,0.0,0.0,0,0,8.0,2.0,366.0,51.0,4434,11.0,8.0,615.0,152.0,11.0,2.0,14.0,8.0,3.0,4.0,1.8,0.0,2.2,2.0
12,4,19,37,37,1,3,4,0,3,13.0,8.0,6.0,6.0,8.0,5.0,11.0,23.0,2.0,2.0,1.0,1.0,1,1,23.0,13.0,338.0,62.0,4704,41.0,38.0,560.0,182.0,23.0,16.0,41.0,41.0,4.0,4.0,1.4,1.5,2.4,3.0
12,6,19,32,31,3,1,4,3,0,15.0,7.0,10.0,4.0,4.0,6.0,6.0,14.0,0.0,2.0,0.0,1.0,1,1,25.0,12.0,150.0,61.0,4655,46.0,33.0,252.0,177.0,28.0,12.0,49.0,33.0,4.0,4.0,1.4,1.3333333333333333,2.6,3.4
12,26,19,1,1,1,1,2,1,1,12.0,4.0,5.0,2.0,9.0,4.0,14.0,12.0,0.0,2.0,0.0,0.0,0,0,,,155.0,49.0,4348,,,258.0,144.0,,,,,4.0,4.0,1.6,1.25,2.8,4.0
12,28,19,33,33,1,1,2,1,1,8.0,7.0,4.0,2.0,2.0,6.0,11.0,12.0,1.0,0.0,0.0,0.0,0,0,26.0,12.0,251.0,61.0,4671,45.0,34.0,417.0,178.0,27.0,13.0,46.0,35.0,4.0,4.0,1.2,1.2,2.4,3.6
12,30,19,16,16,0,1,1,0,3,10.0,15.0,4.0,9.0,5.0,4.0,22.0,22.0,1.0,3.0,0.0,0.0,0,0,7.0,5.0,60.0,54.0,4500,12.0,14.0,108.0,158.0,7.0,8.0,12.0,17.0,4.0,4.0,1.2,1.2,2.8,3.2
12,33,19,3,4,4,3,7,3,0,21.0,18.0,13.0,10.0,6.0,8.0,12.0,12.0,0.0,2.0,0.0,0.0,1,1,1.0,1.0,35.0,50.0,4383,1.0,4.0,46.0,148.0,4.0,1.0,4.0,4.0,4.0,4.0,2.4,1.4,2.6,2.6
12,43,19,27,27,2,0,2,3,0,18.0,8.0,8.0,5.0,13.0,2.0,6.0,13.0,0.0,1.0,0.0,0.0,0,0,18.0,12.0,358.0,61.0,4617,36.0,29.0,588.0,173.0,21.0,12.0,39.0,29.0,4.0,4.0,1.8,1.4,3.2,3.2
12,14,19,34,34,3,1,4,3,0,12.0,10.0,7.0,4.0,4.0,6.0,7.0,11.0,1.0,1.0,0.0,0.0,1,1,41.0,13.0,454.0,62.0,4682,82.0,35.0,770.0,179.0,44.0,13.0,85.0,35.0,2.0,4.0,3.25,1.2,2.8,4.6
12,18,19,14,14,1,0,1,3,0,13.0,6.0,7.0,4.0,12.0,7.0,11.0,24.0,0.0,1.0,0.0,0.0,0,0,10.0,5.0,334.0,54.0,4477,26.0,14.0,539.0,158.0,13.0,5.0,29.0,14.0,5.0,4.0,1.6,1.2,3.2,3.2
12,3,19,24,24,1,2,3,0,3,8.0,6.0,5.0,3.0,5.0,3.0,16.0,11.0,1.0,3.0,0.0,0.0,0,1,13.0,9.0,71.0,58.0,4575,26.0,25.0,124.0,169.0,13.0,12.0,26.0,28.0,4.0,4.0,1.0,1.0,3.0,2.8
12,13,19,18,18,2,1,3,3,0,8.0,6.0,5.0,4.0,5.0,3.0,14.0,16.0,1.0,2.0,0.0,0.0,0,1,14.0,8.0,146.0,57.0,4524,24.0,18.0,258.0,162.0,17.0,8.0,27.0,18.0,4.0,4.0,1.0,1.2,3.4,3.0
12,16,19,8,8,2,0,2,3,0,20.0,8.0,10.0,5.0,10.0,3.0,10.0,10.0,1.0,1.0,0.0,1.0,0,0,0.0,2.0,35.0,51.0,4423,2.0,8.0,80.0,152.0,3.0,2.0,5.0,8.0,5.0,4.0,1.0,0.8,2.6,3.2
12,25,19,26,26,3,1,4,3,0,10.0,6.0,7.0,2.0,4.0,3.0,12.0,13.0,1.0,4.0,0.0,0.0,1,1,25.0,12.0,457.0,61.0,4597,40.0,29.0,772.0,173.0,28.0,12.0,43.0,29.0,3.0,4.0,2.0,0.8,2.6,2.2
12,27,19,30,29,1,0,1,3,0,19.0,10.0,12.0,6.0,18.0,3.0,7.0,11.0,0.0,1.0,0.0,0.0,0,0,34.0,12.0,534.0,61.0,4638,63.0,30.0,962.0,174.0,37.0,12.0,66.0,30.0,2.0,4.0,2.4,0.8,2.6,4.6
12,29,19,12,12,1,4,5,0,3,26.0,11.0,20.0,7.0,19.0,0.0,12.0,16.0,1.0,1.0,0.0,0.0,1,1,10.0,2.0,447.0,51.0,4463,16.0,11.0,700.0,155.0,10.0,5.0,16.0,14.0,3.0,4.0,1.0,0.8,2.6,2.6
12,38,19,22,22,3,3,6,1,1,8.0,12.0,5.0,7.0,2.0,10.0,16.0,16.0,2.0,2.0,0.0,0.0,1,1,12.0,8.0,343.0,57.0,4564,14.0,21.0,519.0,165.0,13.0,9.0,15.0,22.0,4.0,4.0,1.75,1.2,3.0,3.2
12,0,19,19,19,2,0,2,3,0,11.0,2.0,8.0,1.0,7.0,6.0,12.0,9.0,1.0,2.0,0.0,0.0,0,0,19.0,8.0,479.0,57.0,4525,38.0,18.0,845.0,162.0,22.0,8.0,41.0,18.0,1.0,4.0,2.4,1.6,3.6,3.0
12,45,19,6,6,1,1,2,1,1,8.0,9.0,5.0,3.0,11.0,9.0,11.0,6.0,2.0,5.0,1.0,2.0,0,0,2.0,1.0,16.0,50.0,4399,3.0,4.0,29.0,148.0,3.0,2.0,4.0,5.0,5.0,4.0,0.8,1.6,3.6,3.2
12,1,33,12,11,3,0,3,3,0,10.0,7.0,9.0,2.0,6.0,4.0,8.0,13.0,1.0,1.0,0.0,0.0,0,1,11.0,2.0,369.0,13.0,4454,15.0,15.0,619.0,60.0,14.0,2.0,18.0,15.0,3.0,4.0,1.8,0.0,3.2,3.2
12,4,33,6,5,1,0,1,3,0,13.0,6.0,3.0,2.0,13.0,4.0,13.0,15.0,0.0,3.0,0.0,0.0,0,0,2.0,0.0,317.0,11.0,4396,2.0,7.0,521.0,52.0,5.0,0.0,5.0,7.0,4.0,4.0,1.4,0.0,3.6,4.2
12,6,33,15,14,0,1,1,0,3,19.0,8.0,10.0,4.0,7.0,6.0,13.0,14.0,0.0,1.0,0.0,0.0,0,0,14.0,2.0,139.0,13.0,4485,23.0,15.0,229.0,60.0,14.0,5.0,23.0,18.0,4.0,4.0,1.4,0.3333333333333333,2.8,3.0
12,26,33,36,36,2,0,2,3,0,13.0,7.0,7.0,3.0,7.0,5.0,14.0,6.0,0.0,1.0,0.0,0.0,0,0,26.0,11.0,181.0,22.0,4696,45.0,38.0,303.0,83.0,29.0,11.0,48.0,38.0,4.0,4.0,1.6,0.25,1.8,2.8
12,28,33,10,9,1,1,2,1,1,26.0,3.0,11.0,1.0,9.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0,0,7.0,1.0,232.0,12.0,4441,14.0,11.0,386.0,56.0,8.0,2.0,15.0,12.0,4.0,4.0,1.2,0.4,1.8,2.6
12,30,33,8,7,2,2,4,1,1,17.0,13.0,9.0,5.0,8.0,2.0,13.0,7.0,1.0,4.0,0.0,0.0,1,1,2.0,0.0,55.0,11.0,4417,4.0,7.0,100.0,52.0,3.0,1.0,5.0,8.0,4.0,4.0,1.2,0.4,1.8,2.4
12,43,33,26,26,3,1,4,3,0,18.0,6.0,10.0,3.0,9.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,1,1,15.0,10.0,355.0,21.0,4602,33.0,30.0,585.0,75.0,18.0,10.0,36.0,30.0,4.0,4.0,1.8,0.8,2.0,2.0
12,14,33,24,24,3,0,3,3,0,14.0,9.0,9.0,5.0,2.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0,1,29.0,10.0,442.0,21.0,4576,58.0,27.0,746.0,72.0,32.0,10.0,61.0,27.0,2.0,4.0,3.2,1.0,2.6,4.2
12,18,33,22,22,2,1,3,3,0,17.0,9.0,7.0,6.0,8.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0,1,22.0,10.0,346.0,21.0,4562,40.0,27.0,553.0,72.0,25.0,10.0,43.0,27.0,5.0,4.0,1.6,0.8,3.0,2.6
12,3,33,33,33,0,0,0,1,1,9.0,5.0,4.0,4.0,7.0,5.0,16.0,12.0,1.0,2.0,0.0,0.0,0,0,23.0,10.0,81.0,21.0,4664,37.0,34.0,135.0,79.0,24.0,11.0,38.0,35.0,4.0,4.0,1.0,1.0,3.2,2.6
12,13,33,2,2,2,1,3,3,0,18.0,10.0,14.0,6.0,5.0,6.0,9.0,11.0,0.0,1.0,0.0,0.0,0,1,,,132.0,11.0,4356,0.0,1.0,234.0,46.0,,,3.0,1.0,4.0,4.0,1.0,0.8,2.8,2.4
12,16,33,19,19,0,1,1,0,3,18.0,11.0,10.0,6.0,9.0,7.0,10.0,14.0,0.0,2.0,0.0,0.0,0,0,8.0,7.0,43.0,18.0,4529,14.0,23.0,92.0,68.0,8.0,10.0,14.0,26.0,5.0,4.0,0.8,0.6,2.6,2.4
12,19,33,30,31,3,1,4,3,0,12.0,8.0,7.0,4.0,5.0,5.0,14.0,10.0,3.0,3.0,0.0,0.0,1,1,18.0,10.0,113.0,21.0,4652,30.0,31.0,174.0,76.0,21.0,10.0,33.0,31.0,4.0,4.0,1.8,0.6,2.0,2.6
12,25,33,17,17,1,1,2,1,1,12.0,7.0,7.0,4.0,6.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0,0,18.0,6.0,450.0,17.0,4514,24.0,22.0,756.0,67.0,19.0,7.0,25.0,23.0,3.0,4.0,2.0,0.8,2.2,2.8
12,27,33,28,28,2,1,3,3,0,13.0,8.0,6.0,4.0,4.0,3.0,15.0,15.0,1.0,2.0,0.0,0.0,0,1,31.0,10.0,531.0,21.0,4615,59.0,30.0,958.0,75.0,34.0,10.0,62.0,30.0,2.0,4.0,2.4,0.8,2.0,4.0
12,29,33,17,16,1,1,2,1,1,15.0,6.0,2.0,3.0,6.0,2.0,12.0,15.0,1.0,2.0,0.0,0.0,0,0,11.0,5.0,448.0,16.0,4507,20.0,21.0,704.0,66.0,12.0,6.0,21.0,22.0,3.0,4.0,1.0,1.0,2.6,3.2
12,38,33,13,12,2,1,3,3,0,11.0,13.0,5.0,6.0,4.0,8.0,14.0,15.0,1.0,3.0,0.0,0.0,0,1,6.0,2.0,337.0,13.0,4470,8.0,15.0,513.0,60.0,9.0,2.0,11.0,15.0,4.0,4.0,1.8,1.0,2.4,3.0
12,0,33,29,29,3,0,3,3,0,11.0,5.0,6.0,2.0,7.0,3.0,12.0,15.0,0.0,2.0,0.0,0.0,0,1,29.0,10.0,489.0,21.0,4621,58.0,30.0,865.0,75.0,32.0,10.0,61.0,30.0,1.0,4.0,2.4,1.0,2.8,3.4
