S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
1,30,23,18,20,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,9.0,14.0,9.0,14.0,216,28.0,36.0,28.0,36.0,12.0,14.0,31.0,36.0,4.0,2.0,1.5,1.4,2.2,2.2
1,43,23,15,15,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,9.0,11.0,9.0,163,19.0,25.0,19.0,25.0,12.0,10.0,20.0,26.0,4.0,2.0,1.0,1.4,2.4,2.4
1,18,23,16,16,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,10.0,9.0,10.0,168,19.0,26.0,19.0,26.0,10.0,11.0,20.0,27.0,4.0,2.0,0.5,1.4,2.4,2.4
1,22,23,11,11,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,7.0,8.0,7.0,120,12.0,19.0,12.0,19.0,9.0,8.0,13.0,20.0,4.0,2.0,0.0,1.2,2.0,2.0
1,48,23,33,34,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25.0,18.0,25.0,18.0,367,42.0,55.0,42.0,55.0,28.0,18.0,45.0,55.0,2.0,2.0,1.0,0.8,1.6,2.6
1,4,23,25,26,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,24.0,16.0,24.0,16.0,285,48.0,43.0,48.0,43.0,27.0,16.0,51.0,43.0,1.0,2.0,2.0,0.6,1.6,2.0
1,15,23,9,9,0,2,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,4.0,8.0,4.0,92,14.0,13.0,14.0,13.0,8.0,7.0,14.0,16.0,3.0,2.0,0.0,0.6,1.6,2.0
1,27,23,24,24,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,15.0,28.0,15.0,250,56.0,41.0,56.0,41.0,29.0,16.0,57.0,42.0,1.0,2.0,0.0,0.8,1.6,1.5
1,34,23,34,36,0,4,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,25.0,18.0,25.0,18.0,392,50.0,56.0,50.0,56.0,25.0,21.0,50.0,59.0,3.0,2.0,2.5,0.6,1.2,2.2
1,37,23,13,13,3,3,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6.0,8.0,6.0,8.0,140,9.0,21.0,9.0,21.0,7.0,9.0,10.0,22.0,3.0,2.0,1.5,1.4,2.0,1.8
1,42,23,42,42,0,5,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,19.0,22.0,19.0,22.0,459,30.0,67.0,30.0,67.0,19.0,25.0,30.0,70.0,5.0,2.0,1.5,2.0,3.0,4.25
1,0,18,5,5,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,3.0,3.0,3.0,46,9.0,9.0,9.0,9.0,6.0,3.0,12.0,9.0,2.0,4.0,1.3333333333333333,0.0,2.0,2.0
1,1,18,34,35,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24.0,12.0,24.0,12.0,372,49.0,36.0,49.0,36.0,25.0,13.0,50.0,37.0,3.0,4.0,0.3333333333333333,0.0,1.0,3.0
1,14,18,23,25,4,2,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,15.0,12.0,15.0,12.0,259,21.0,25.0,21.0,25.0,18.0,12.0,24.0,25.0,4.0,4.0,2.0,0.6666666666666666,2.6666666666666665,1.6
1,25,18,32,32,2,1,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,31.0,12.0,31.0,12.0,340,47.0,36.0,47.0,36.0,34.0,12.0,50.0,36.0,3.0,4.0,1.6666666666666667,0.75,2.75,2.8
1,26,18,19,19,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,11.0,7.0,11.0,203,16.0,24.0,16.0,24.0,10.0,11.0,19.0,24.0,4.0,4.0,1.0,0.6,2.4,2.6
1,29,18,4,4,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,3.0,41,1.0,9.0,1.0,9.0,3.0,3.0,4.0,9.0,2.0,4.0,2.0,0.6,2.4,2.2
